sample_id,true_label,true_label_name,predicted_label,predicted_label_name,entropy,confidence,margin,top2_class,top2_class_name,top2_prob,density_dist,is_correct,knowledge_gap,gap_explanation,learning_objective,objective_description,selected_strategy,strategy_reason,n_experiences
21308,2,Pullover,2,Pullover,0.553027,0.844753,0.763001,6,Shirt,0.081752,9.856545,True,low_intra_class_diversity,Medium entropy (0.553) with sparse feature-space neighbourhood for 'Pullover' (density_dist=9.857 > threshold 8.935). This sample lies in an underrepresented region of the class distribution.,increase_intra_class_diversity,Expose the model to a wider range of visual appearances within the true class to improve robustness of the class representation.,RETRIEVAL,Objective 'increase_intra_class_diversity' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Pullover'.,8
32265,6,Shirt,6,Shirt,0.553087,0.848550,0.774522,0,T-shirt/top,0.074029,8.893240,True,general_uncertainty,"Moderate uncertainty (0.553). Prediction was correct (predicted 'Shirt', true 'Shirt'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Shirt'.,8
32350,0,T-shirt/top,0,T-shirt/top,0.553100,0.780594,0.566200,6,Shirt,0.214394,7.428595,True,general_uncertainty,"Moderate uncertainty (0.553). Prediction was correct (predicted 'T-shirt/top', true 'T-shirt/top'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'T-shirt/top'.,8
53733,0,T-shirt/top,0,T-shirt/top,0.553125,0.792029,0.592931,6,Shirt,0.199099,12.705826,True,low_intra_class_diversity,Medium entropy (0.553) with sparse feature-space neighbourhood for 'T-shirt/top' (density_dist=12.706 > threshold 8.935). This sample lies in an underrepresented region of the class distribution.,increase_intra_class_diversity,Expose the model to a wider range of visual appearances within the true class to improve robustness of the class representation.,RETRIEVAL,Objective 'increase_intra_class_diversity' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'T-shirt/top'.,8
12018,0,T-shirt/top,0,T-shirt/top,0.553169,0.861986,0.776902,6,Shirt,0.085084,7.904532,True,general_uncertainty,"Moderate uncertainty (0.553). Prediction was correct (predicted 'T-shirt/top', true 'T-shirt/top'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'T-shirt/top'.,8
44939,4,Coat,4,Coat,0.553185,0.833281,0.697497,6,Shirt,0.135783,11.734362,True,low_intra_class_diversity,Medium entropy (0.553) with sparse feature-space neighbourhood for 'Coat' (density_dist=11.734 > threshold 8.935). This sample lies in an underrepresented region of the class distribution.,increase_intra_class_diversity,Expose the model to a wider range of visual appearances within the true class to improve robustness of the class representation.,RETRIEVAL,Objective 'increase_intra_class_diversity' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Coat'.,8
51748,7,Sneaker,7,Sneaker,0.553323,0.809263,0.638499,9,Ankle boot,0.170764,10.919767,True,low_intra_class_diversity,Medium entropy (0.553) with sparse feature-space neighbourhood for 'Sneaker' (density_dist=10.920 > threshold 8.935). This sample lies in an underrepresented region of the class distribution.,increase_intra_class_diversity,Expose the model to a wider range of visual appearances within the true class to improve robustness of the class representation.,RETRIEVAL,Objective 'increase_intra_class_diversity' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Sneaker'.,8
51394,2,Pullover,2,Pullover,0.553446,0.800041,0.611640,4,Coat,0.188400,8.501553,True,general_uncertainty,"Moderate uncertainty (0.553). Prediction was correct (predicted 'Pullover', true 'Pullover'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Pullover'.,8
37721,7,Sneaker,7,Sneaker,0.553488,0.765012,0.531310,9,Ankle boot,0.233702,9.573434,True,low_intra_class_diversity,Medium entropy (0.553) with sparse feature-space neighbourhood for 'Sneaker' (density_dist=9.573 > threshold 8.935). This sample lies in an underrepresented region of the class distribution.,increase_intra_class_diversity,Expose the model to a wider range of visual appearances within the true class to improve robustness of the class representation.,RETRIEVAL,Objective 'increase_intra_class_diversity' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Sneaker'.,8
32960,7,Sneaker,7,Sneaker,0.553542,0.759881,0.520009,9,Ankle boot,0.239872,5.849968,True,general_uncertainty,"Moderate uncertainty (0.554). Prediction was correct (predicted 'Sneaker', true 'Sneaker'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Sneaker'.,8
