sample_id,true_label,predicted_label,confidence,predictive_entropy,correct_prediction
0,3,3,0.987543,0.075957,True
1,3,3,0.991461,0.055745,True
2,6,6,0.620247,0.818710,True
3,7,7,0.977652,0.116868,True
4,0,0,0.999988,0.000154,True
5,6,3,0.459487,1.080937,False
6,9,9,0.998384,0.012438,True
7,5,5,0.999890,0.001177,True
8,6,6,0.943498,0.269670,True
9,1,1,0.999977,0.000298,True
10,7,7,0.978580,0.104346,True
11,7,7,1.000000,0.000005,True
12,9,9,0.701078,0.610297,True
13,4,4,0.592259,0.677609,True
14,8,8,1.000000,0.000004,True
15,8,8,0.999998,0.000035,True
16,7,7,0.999944,0.000619,True
17,0,0,0.999223,0.006386,True
18,0,0,0.996739,0.025490,True
19,8,8,0.957768,0.226452,True
20,8,8,1.000000,0.000002,True
21,9,9,0.999995,0.000064,True
22,7,7,0.999784,0.002040,True
23,4,4,0.832939,0.452921,True
24,7,7,0.999998,0.000029,True
25,5,5,0.999994,0.000083,True
26,1,1,0.999886,0.001218,True
27,3,3,0.999692,0.002960,True
28,4,4,0.962879,0.199140,True
29,3,3,0.986607,0.087083,True
30,8,8,1.000000,0.000000,True
31,5,5,0.997424,0.020073,True
32,7,7,0.999999,0.000013,True
33,9,9,0.921696,0.288765,True
34,4,4,0.727139,0.648886,True
35,4,4,0.877814,0.396962,True
36,1,1,0.999995,0.000069,True
37,3,3,0.914737,0.351510,True
38,6,6,0.974971,0.126236,True
39,0,0,0.998371,0.012312,True
40,8,8,1.000000,0.000001,True
41,2,2,0.945274,0.251499,True
42,9,9,0.999500,0.004406,True
43,9,9,0.999999,0.000010,True
44,8,8,1.000000,0.000000,True
45,5,5,1.000000,0.000004,True
46,8,8,1.000000,0.000000,True
47,5,5,0.999997,0.000045,True
48,3,3,0.998303,0.013778,True
49,9,9,0.958751,0.174332,True
50,2,2,0.987402,0.075336,True
51,6,6,0.996006,0.026980,True
52,4,4,0.987861,0.077358,True
53,2,2,0.999923,0.000839,True
54,7,7,0.999965,0.000412,True
55,7,7,0.999992,0.000108,True
56,4,4,0.978464,0.118414,True
57,8,8,1.000000,0.000001,True
58,2,2,0.924435,0.360789,True
59,5,5,0.994261,0.035337,True
60,0,0,0.872804,0.492629,True
61,8,8,0.999744,0.002572,True
62,7,7,0.999671,0.003058,True
63,8,8,0.999999,0.000011,True
64,5,5,0.999991,0.000115,True
65,3,3,0.999913,0.000975,True
66,5,5,0.910671,0.320607,True
67,3,3,0.999212,0.007170,True
68,6,6,0.810884,0.554297,True
69,3,3,0.999629,0.003598,True
70,7,7,0.999947,0.000608,True
71,9,9,1.000000,0.000000,True
72,6,0,0.452959,1.196885,False
73,0,0,0.798325,0.645033,True
74,0,0,0.999956,0.000510,True
75,9,9,1.000000,0.000000,True
76,7,7,0.935281,0.288694,True
77,6,6,0.771767,0.778578,True
78,2,2,0.794572,0.510265,True
79,7,7,0.994651,0.037196,True
80,4,4,0.988281,0.071836,True
81,1,1,1.000000,0.000000,True
82,6,6,0.977910,0.106553,True
83,8,8,1.000000,0.000000,True
84,7,7,0.993899,0.040590,True
85,6,6,0.993756,0.043390,True
86,3,3,0.998449,0.011951,True
87,1,1,1.000000,0.000000,True
88,9,9,1.000000,0.000003,True
89,9,9,1.000000,0.000000,True
90,9,9,0.999999,0.000012,True
91,9,9,0.999687,0.003099,True
92,4,4,0.963997,0.177891,True
93,0,0,0.983139,0.089931,True
94,1,1,1.000000,0.000000,True
95,1,1,1.000000,0.000000,True
96,0,0,0.985994,0.088604,True
97,1,1,1.000000,0.000000,True
98,6,6,0.994003,0.036694,True
99,9,9,0.999998,0.000027,True
100,1,1,0.999998,0.000027,True
101,4,4,0.569212,0.724238,True
102,3,3,0.998815,0.010532,True
103,5,5,0.999885,0.001214,True
104,5,5,1.000000,0.000003,True
105,7,7,0.999853,0.001461,True
106,8,8,0.999991,0.000128,True
107,1,1,1.000000,0.000000,True
108,8,8,1.000000,0.000000,True
109,7,7,0.999967,0.000414,True
110,1,1,0.999996,0.000052,True
111,5,5,1.000000,0.000000,True
112,3,3,0.609751,0.961428,True
113,8,8,1.000000,0.000000,True
114,8,8,1.000000,0.000003,True
115,9,9,1.000000,0.000000,True
116,4,4,0.661913,1.049186,True
117,1,1,0.995408,0.032707,True
118,2,2,0.970099,0.135849,True
119,7,7,0.999320,0.006414,True
120,3,3,0.996715,0.023198,True
121,1,1,0.999991,0.000111,True
122,3,3,0.999992,0.000111,True
123,0,0,0.987580,0.070315,True
124,1,1,1.000000,0.000005,True
125,0,0,0.668205,0.729286,True
126,6,6,0.984276,0.082373,True
127,8,8,0.999985,0.000186,True
128,5,5,0.999958,0.000469,True
129,2,2,0.972688,0.136544,True
130,7,7,0.947488,0.229219,True
131,6,6,0.886226,0.395412,True
132,6,0,0.521851,0.956938,False
133,4,4,0.938808,0.246355,True
134,1,1,1.000000,0.000001,True
135,1,1,0.999998,0.000030,True
136,0,0,0.985386,0.077787,True
137,8,8,1.000000,0.000000,True
138,9,9,0.990854,0.052119,True
139,8,8,0.998881,0.009488,True
140,3,3,0.952057,0.212150,True
141,9,9,0.918007,0.346169,True
142,7,7,0.999962,0.000430,True
143,2,2,0.996090,0.026069,True
144,0,0,0.895910,0.444563,True
145,2,4,0.504825,0.830135,False
