sample_id,true_label,true_label_name,predicted_label,predicted_label_name,entropy,confidence,margin,top2_class,top2_class_name,top2_prob,density_dist,is_correct,knowledge_gap,gap_explanation,learning_objective,objective_description,selected_strategy,strategy_reason,n_experiences
40194,4,Deer,4,Deer,0.768815,0.817516,0.768747,3,Cat,0.048769,14.109182,True,general_uncertainty,"Moderate uncertainty (0.769). Prediction was correct (predicted 'Deer', true 'Deer'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Deer'.,8
37233,4,Deer,4,Deer,0.768853,0.790598,0.683891,6,Frog,0.106707,14.216254,True,general_uncertainty,"Moderate uncertainty (0.769). Prediction was correct (predicted 'Deer', true 'Deer'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Deer'.,8
4021,7,Horse,7,Horse,0.768902,0.743668,0.552764,4,Deer,0.190904,20.562977,True,low_intra_class_diversity,Medium entropy (0.769) with sparse feature-space neighbourhood for 'Horse' (density_dist=20.563 > threshold 20.299). This sample lies in an underrepresented region of the class distribution.,increase_intra_class_diversity,Expose the model to a wider range of visual appearances within the true class to improve robustness of the class representation.,RETRIEVAL,Objective 'increase_intra_class_diversity' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Horse'.,8
16554,5,Dog,5,Dog,0.768948,0.810358,0.738763,3,Cat,0.071595,25.839046,True,low_intra_class_diversity,Medium entropy (0.769) with sparse feature-space neighbourhood for 'Dog' (density_dist=25.839 > threshold 20.299). This sample lies in an underrepresented region of the class distribution.,increase_intra_class_diversity,Expose the model to a wider range of visual appearances within the true class to improve robustness of the class representation.,RETRIEVAL,Objective 'increase_intra_class_diversity' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Dog'.,8
11907,2,Bird,2,Bird,0.769098,0.705492,0.468645,4,Deer,0.236846,19.787939,True,general_uncertainty,"Moderate uncertainty (0.769). Prediction was correct (predicted 'Bird', true 'Bird'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Bird'.,8
26048,6,Frog,4,Deer,0.769147,0.495411,0.004157,6,Frog,0.491254,16.093813,False,decision_boundary_confusion,High entropy (0.769) with low decision margin (0.004). The model confuses 'Frog' with 'Frog' (p=0.491). The model's decision boundary between these two classes is weak.,increase_class_separation,Sharpen the decision boundary between the confused classes by presenting discriminative examples from both sides of the boundary.,COUNTEREXAMPLE,Objective 'increase_class_separation' requires exposing discriminative pairs. Counterexample Learning selected: will retrieve boundary examples from both 'Frog' (true class) and 'Frog' (confused class).,8
4370,0,Airplane,0,Airplane,0.769167,0.719644,0.501804,2,Bird,0.217840,23.008171,True,low_intra_class_diversity,Medium entropy (0.769) with sparse feature-space neighbourhood for 'Airplane' (density_dist=23.008 > threshold 20.299). This sample lies in an underrepresented region of the class distribution.,increase_intra_class_diversity,Expose the model to a wider range of visual appearances within the true class to improve robustness of the class representation.,RETRIEVAL,Objective 'increase_intra_class_diversity' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Airplane'.,8
42681,5,Dog,5,Dog,0.769209,0.688982,0.427628,3,Cat,0.261354,16.699442,True,general_uncertainty,"Moderate uncertainty (0.769). Prediction was correct (predicted 'Dog', true 'Dog'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Dog'.,8
1800,1,Automobile,1,Automobile,0.769301,0.768794,0.628380,9,Truck,0.140414,19.832014,True,general_uncertainty,"Moderate uncertainty (0.769). Prediction was correct (predicted 'Automobile', true 'Automobile'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Automobile'.,8
33390,4,Deer,4,Deer,0.769369,0.719051,0.492525,6,Frog,0.226525,15.559406,True,general_uncertainty,"Moderate uncertainty (0.769). Prediction was correct (predicted 'Deer', true 'Deer'). No specific structural gap identified. General concept reinforcement is indicated.",strengthen_concept_representation,Reinforce the model's general understanding of the true class by revisiting representative training examples.,RETRIEVAL,Objective 'strengthen_concept_representation' requires broadening class coverage. Retrieval Learning selected: will retrieve diverse examples spanning the full visual range of 'Deer'.,8
