sample_id,true_label,predicted_label,confidence,predictive_entropy,correct_prediction
0,7,7,0.948217,0.219339,True
1,8,8,0.996357,0.024097,True
2,0,0,0.993508,0.041750,True
3,8,8,0.968100,0.172687,True
4,8,8,0.999994,0.000084,True
5,6,6,0.999887,0.001225,True
6,5,5,0.828806,0.519583,True
7,2,2,0.935979,0.242366,True
8,0,0,0.999819,0.001833,True
9,6,6,0.855490,0.654662,True
10,5,5,0.999815,0.001857,True
11,6,6,0.962150,0.162474,True
12,5,5,0.980476,0.102230,True
13,4,4,0.990651,0.055934,True
14,8,8,0.981431,0.106088,True
15,9,9,0.878503,0.474540,True
16,9,9,0.934448,0.244488,True
17,3,3,0.995798,0.033213,True
18,8,8,0.997792,0.015710,True
19,1,1,0.990004,0.064147,True
20,9,9,0.999952,0.000523,True
21,7,7,0.999352,0.005411,True
22,2,2,0.814585,0.794692,True
23,7,7,1.000000,0.000000,True
24,6,6,0.350716,1.388783,True
25,3,3,0.920707,0.375643,True
26,2,2,0.980361,0.115261,True
27,9,9,0.999984,0.000202,True
28,3,3,0.768775,0.639328,True
29,7,7,0.997770,0.016809,True
30,7,7,0.998107,0.014421,True
31,1,1,0.984340,0.081974,True
32,9,9,0.901406,0.473274,True
33,3,3,0.988487,0.064679,True
34,9,9,0.968087,0.149049,True
35,4,4,0.991796,0.054393,True
36,5,5,0.902435,0.472073,True
37,5,5,0.969294,0.165136,True
38,4,4,0.928796,0.298459,True
39,9,9,0.850614,0.462436,True
40,8,8,0.995950,0.026845,True
41,9,9,0.999834,0.001681,True
42,5,5,0.996240,0.027454,True
43,0,0,0.999752,0.002401,True
44,1,1,0.999894,0.001150,True
45,3,3,0.868486,0.526710,True
46,2,2,0.823873,0.515042,True
47,7,7,0.853925,0.563613,True
48,7,7,0.999887,0.001137,True
49,6,6,0.977352,0.125956,True
50,6,6,0.993719,0.041198,True
51,1,1,0.989721,0.071001,True
52,7,7,0.812363,0.715201,True
53,0,0,1.000000,0.000006,True
54,1,1,0.962300,0.161135,True
55,8,8,0.964260,0.181045,True
56,0,0,0.930466,0.320470,True
57,3,3,0.775152,0.755225,True
58,6,6,0.943408,0.309614,True
59,5,5,0.986510,0.082513,True
60,4,4,0.998676,0.011610,True
61,3,3,0.940734,0.275924,True
62,0,0,0.988588,0.064586,True
63,4,4,0.984685,0.088376,True
64,0,0,0.999754,0.002511,True
65,9,9,0.984807,0.080742,True
66,3,3,0.606910,1.217399,True
67,1,1,0.976343,0.135650,True
68,1,1,0.506865,0.695782,True
69,9,9,0.715956,0.720561,True
70,1,1,0.931966,0.262356,True
71,1,1,0.998552,0.013125,True
72,8,8,0.998721,0.010030,True
73,4,4,0.989113,0.069268,True
74,4,4,0.979170,0.108396,True
75,4,4,0.747172,0.674200,True
76,6,6,0.637863,0.728329,True
77,8,8,0.989318,0.062195,True
78,8,8,0.996153,0.025660,True
79,7,7,0.955002,0.239656,True
80,8,8,0.999885,0.001174,True
81,3,3,0.915144,0.357561,True
82,2,2,0.993483,0.041787,True
83,9,9,0.987766,0.066319,True
84,9,9,0.888883,0.467440,True
85,2,2,0.545496,0.867039,True
86,6,6,1.000000,0.000007,True
87,4,4,0.996241,0.029687,True
88,2,2,0.939676,0.259415,True
89,8,8,0.996979,0.023168,True
90,8,8,0.877741,0.486059,True
91,3,3,0.984807,0.080333,True
92,1,1,0.999987,0.000159,True
93,6,6,0.983767,0.086763,True
94,6,6,0.999679,0.002943,True
95,0,0,0.999714,0.002939,True
96,3,3,0.965527,0.168589,True
97,8,8,0.999407,0.005374,True
98,0,0,0.952189,0.193344,True
99,1,1,0.984604,0.080550,True
100,5,5,0.638622,1.131693,True
101,1,1,0.964122,0.171743,True
102,5,5,0.989207,0.071253,True
103,3,3,0.988316,0.070361,True
104,5,5,0.821746,0.584927,True
105,5,5,0.828758,0.561557,True
106,3,3,0.954430,0.196786,True
107,1,1,0.979480,0.100128,True
108,3,3,0.780553,0.749637,True
109,6,6,0.999148,0.007505,True
110,9,9,0.671916,1.041024,True
111,0,0,0.966186,0.148459,True
112,5,5,0.984872,0.089407,True
113,7,7,0.808906,0.737246,True
114,2,2,0.999672,0.003081,True
115,4,4,0.557362,1.176087,True
116,0,0,0.983562,0.084025,True
117,7,7,0.993202,0.049402,True
118,7,7,0.985028,0.077877,True
119,9,9,0.949934,0.252904,True
120,4,4,0.859226,0.582052,True
121,0,0,0.955597,0.237014,True
122,7,7,0.999179,0.007598,True
123,5,5,0.983554,0.110918,True
124,9,9,0.880060,0.402471,True
125,8,8,0.915513,0.365149,True
126,2,2,0.975824,0.133650,True
127,9,9,0.899972,0.371043,True
128,0,0,0.990408,0.055328,True
129,7,7,0.946207,0.270121,True
130,7,7,0.948227,0.254608,True
131,4,4,0.801488,0.692733,True
132,3,3,0.977341,0.129082,True
133,5,5,0.929158,0.257094,True
134,3,3,0.957189,0.225197,True
135,7,7,0.981752,0.104220,True
136,3,3,0.870205,0.592587,True
137,8,8,0.974097,0.130905,True
138,5,5,0.981060,0.116686,True
139,3,3,0.897474,0.345966,True
140,5,5,0.973081,0.136030,True
141,9,9,0.994035,0.038295,True
142,1,1,0.992253,0.056780,True
143,7,7,0.999332,0.006133,True
144,7,7,0.951962,0.205201,True
145,9,9,0.999996,0.000058,True
146,7,7,0.999869,0.001413,True
147,7,7,0.913963,0.305534,True
148,8,8,0.999176,0.007209,True
149,4,4,0.999688,0.002855,True
150,6,6,0.958149,0.214599,True
151,1,1,0.992261,0.046170,True
152,6,6,0.999361,0.006158,True
153,3,3,0.838353,0.480513,True
154,0,0,0.992050,0.057856,True
155,0,0,0.733024,0.583434,True
156,3,3,0.764699,0.781898,True
157,2,2,0.848200,0.660594,True
158,6,6,0.959753,0.175532,True
159,1,1,0.996749,0.022541,True
160,0,0,0.945000,0.240358,True
161,6,6,0.963911,0.183700,True
162,9,9,0.974172,0.120162,True
163,7,7,0.962804,0.190115,True
164,4,4,0.994917,0.033279,True
165,8,8,0.992927,0.046895,True
166,8,8,0.976959,0.112564,True
167,7,7,0.955120,0.184047,True
168,2,2,0.989402,0.072823,True
169,8,8,0.823728,0.500185,True
170,3,3,0.969057,0.140181,True
171,5,5,0.986339,0.089198,True
172,0,0,0.862567,0.448362,True
173,4,4,0.926671,0.350311,True
174,0,0,0.945819,0.284000,True
175,3,3,0.959662,0.208125,True
176,2,2,0.739714,0.737900,True
177,7,7,0.996309,0.027633,True
178,8,8,0.999739,0.002418,True
179,3,3,0.797120,0.808173,True
180,1,1,0.965792,0.188865,True
181,6,6,0.997949,0.015349,True
182,0,0,0.883541,0.435085,True
183,0,0,0.733400,1.027390,True
184,3,3,0.844061,0.655215,True
185,3,3,0.890402,0.493213,True
186,3,3,0.985723,0.084755,True
187,0,0,0.972796,0.137370,True
188,5,5,0.999194,0.007279,True
189,5,5,0.878533,0.405534,True
190,5,5,0.816766,0.633348,True
191,5,3,0.571523,1.143239,False
192,4,4,0.972898,0.165738,True
193,0,0,0.988480,0.068751,True
194,5,5,0.657112,1.176247,True
195,7,7,0.999967,0.000419,True
196,0,0,0.549183,1.224072,True
197,9,9,0.999025,0.007825,True
198,6,6,0.886463,0.471453,True
199,7,7,0.971913,0.132456,True
200,5,5,0.941382,0.284756,True
201,0,0,0.999999,0.000017,True
202,9,9,0.931402,0.295329,True
203,4,4,0.923524,0.376958,True
204,5,5,0.917788,0.393958,True
205,2,2,0.717814,0.884314,True
206,6,6,0.942142,0.252045,True
207,7,7,0.982762,0.090495,True
208,0,0,0.951311,0.250913,True
209,7,7,0.996083,0.030698,True
210,3,3,0.994319,0.039060,True
211,0,0,0.851232,0.423704,True
212,7,7,0.999895,0.001164,True
213,3,3,0.973571,0.162525,True
214,3,3,0.982258,0.105295,True
215,1,1,0.999455,0.004751,True
216,8,8,0.999505,0.004390,True
217,5,5,0.822388,0.606640,True
218,4,4,0.975707,0.138608,True
219,4,4,0.733873,0.706021,True
220,4,4,0.907123,0.366027,True
221,5,5,0.852956,0.427631,True
222,5,5,0.950589,0.201086,True
223,4,4,0.999385,0.005692,True
224,8,8,0.999937,0.000670,True
225,0,0,0.975547,0.115533,True
226,2,2,0.892910,0.365725,True
227,5,5,0.962412,0.211140,True
228,2,2,0.884526,0.421835,True
229,5,5,0.705581,0.799763,True
230,8,8,0.985193,0.089740,True
231,0,0,0.994532,0.042836,True
232,7,7,0.916535,0.376115,True
233,7,7,0.821214,0.611210,True
234,6,6,0.995954,0.028589,True
235,8,8,0.931200,0.290195,True
236,8,8,0.997079,0.023016,True
237,5,5,0.781249,0.664146,True
238,7,7,0.868100,0.471980,True
239,8,8,0.968983,0.144901,True
240,1,1,0.997213,0.019661,True
241,0,0,0.999557,0.004310,True
242,0,0,0.907311,0.373443,True
243,2,1,0.323411,1.453313,False
